claim_id,pred
TLNC,0.4705835296891401
LSAP,0.7501483857941628
QYJQ,0.5234709877814877
NJBO,0.6923277105975628
YVKL,0.7535806178510424
YJOF,0.7245460302094906
XGWH,0.7229368535861496
KMIJ,0.9437735465409012
ACHG,0.8063418498103971
MRJD,0.9730333566769831
YOLF,0.37388234799394754
WPTV,0.4173513304968999
NMHB,0.759425748361053
BRDX,0.2124956712239303
NKFB,0.6801818522149694
IMKS,0.5485364016662274
YXDF,0.5851495176417515
BOZX,0.6803308082291025
PBKU,0.3833629221894562
SAFN,0.40722435576347066
WCBV,0.12398738562707783
GFIR,0.4721488134865896
RFTL,0.17244913788705157
QSNF,0.5836228038571577
PFVB,0.4854809550534016
DJSH,0.6478289800857195
XGPZ,0.5675262365534707
TJKC,0.3698238562394901
LMIP,0.5309742594295326
XGVO,0.8683218790958974
DJAM,0.6821502751190567
CEQM,0.5385557536517845
BTXN,0.725673519923218
IBXI,0.7236190101560348
PQFU,0.7066441131028511
THLC,0.40676664908670207
SXXP,0.6959977936854171
SRVN,0.8283360153616485
WXFV,0.7407752802046896
TUXC,0.9332091403926784
UGZY,0.4523674268801275
MKLD,0.33262780999292946
WFDV,0.9076388335791143
IBBJ,0.8143564683700426
GPYQ,0.5357355631563478
